jezyk,liczba_wnioskow_wyplaconych,min_kwota_per_pasazer,q1_per_pasazer,mediana_per_pasazer,q3_per_pasazer,max_kwota_per_pasazer
fr,91,250,250,600,600,600
el,13,250,250,400,400,600
da,1628,75,250,400,600,1200
nb,315,100,250,400,600,600
nl,35,250,250,400,600,600
pt,357,100,400,400,600,1200
ru,70,250,250,400,400,600
sv,586,100,250,400,600,600
fi,378,125,250,400,600,600
pl,6108,50,300,300,300,600
en,32815,0.5,250,250,300,1200
es,234,125,250,250,400,600
de,457,25,250,250,600,600
it,206,125,250,250,600,600
