stan_wniosku,jezyk,liczba_wnioskow,procent_wnioskow_odrzuconych
odrzucony po analizie,pl,124,1.56
odrzucony po analizie,en,2836,1.95
odrzucony po analizie,pt,133,3.99
odrzucony po analizie,es,123,7.37
odrzucony po analizie,de,290,10.27
odrzucony po analizie,da,830,12.48
odrzucony po analizie,fr,133,13.54
odrzucony po analizie,it,271,13.62
odrzucony po analizie,sv,494,14.2
odrzucony po analizie,fi,325,15.44
odrzucony po analizie,nl,48,18.11
odrzucony po analizie,ru,138,25.37
odrzucony po analizie,nb,658,25.58
odrzucony prawnie,pl,146,1.83
odrzucony prawnie,en,3320,2.29
odrzucony prawnie,fr,57,5.8
odrzucony prawnie,es,97,5.82
odrzucony prawnie,nb,154,5.99
odrzucony prawnie,pt,215,6.45
odrzucony prawnie,sv,230,6.61
odrzucony prawnie,nl,18,6.79
odrzucony prawnie,fi,146,6.94
odrzucony prawnie,da,539,8.11
odrzucony prawnie,it,168,8.44
odrzucony prawnie,ru,51,9.38
odrzucony prawnie,de,286,10.12
odrzucony przez operatora,pl,102,1.28
odrzucony przez operatora,en,3623,2.5
odrzucony przez operatora,nb,92,3.58
odrzucony przez operatora,pt,121,3.63
odrzucony przez operatora,ru,20,3.68
odrzucony przez operatora,es,65,3.9
odrzucony przez operatora,fr,40,4.07
odrzucony przez operatora,fi,95,4.51
odrzucony przez operatora,nl,12,4.53
odrzucony przez operatora,de,142,5.03
odrzucony przez operatora,it,103,5.18
odrzucony przez operatora,sv,185,5.32
odrzucony przez operatora,da,362,5.44
przegrany w sadzie,da,13,0.2
przegrany w sadzie,en,1353,0.93
